,id,original_title,title,popularity,release_date,vote_average,vote_count
778,81401,A torinói ló,The Turin Horse,15.114,2011-03-31,7.704,355
779,613868,Primos,Cousins,15.617,2019-12-10,7.7,335
780,573699,白蛇: 缘起,White Snake,25.332,2019-01-11,7.703,471
781,369299,¿Qué culpa tiene el niño?,Don't Blame the Kid,20.451,2016-05-13,7.7,630
782,13187,A Charlie Brown Christmas,A Charlie Brown Christmas,39.828,1965-12-09,7.7,676
783,40619,Day & Night,Day & Night,12.093,2010-06-17,7.702,890
784,30588,Monsieur Verdoux,Monsieur Verdoux,11.078,1947-09-26,7.7,419
785,1908,Inherit the Wind,Inherit the Wind,17.95,1960-07-07,7.7,409
786,1633,Fried Green Tomatoes,Fried Green Tomatoes,29.096,1991-12-27,7.704,1336
787,137182,The Broken Circle Breakdown,The Broken Circle Breakdown,13.927,2012-10-09,7.7,1046
788,4480,Jean de Florette,Jean de Florette,14.827,1986-08-27,7.701,553
789,11299,カウボーイビバップ 天国の扉,Cowboy Bebop: The Movie,26.592,2001-09-01,7.7,897
790,20139,The Children's Hour,The Children's Hour,14.499,1961-12-19,7.706,347
791,556984,The Trial of the Chicago 7,The Trial of the Chicago 7,25.595,2020-09-25,7.698,3019
792,393729,Divines,Divines,9.945,2016-08-31,7.7,660
793,51608,아저씨,The Man from Nowhere,37.578,2010-08-04,7.7,1311
794,30959,怪談,Kwaidan,20.376,1965-01-06,7.7,383
795,244063,Jongens,Boys,14.809,2014-01-08,7.7,685
796,12516,夢,Dreams,13.522,1990-05-11,7.7,473
797,632,Stalag 17,Stalag 17,15.777,1953-05-29,7.699,597
798,9023,Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron,63.458,2002-05-24,7.693,4568
799,8016,Germania anno zero,"Germany, Year Zero",12.201,1948-12-01,7.7,375
800,773,Little Miss Sunshine,Little Miss Sunshine,22.698,2006-07-26,7.693,7088
801,499,Cléo de 5 à 7,Cléo from 5 to 7,17.875,1962-04-11,7.7,684
802,713776,If Anything Happens I Love You,If Anything Happens I Love You,12.705,2020-03-07,7.693,903
803,238628,Mandariinid,Tangerines,9.751,2013-10-16,7.691,515
804,23832,L'armata Brancaleone,For Love and Gold,6.998,1966-04-07,7.691,361
805,3114,The Searchers,The Searchers,27.344,1956-05-16,7.7,1404
806,83666,Moonrise Kingdom,Moonrise Kingdom,19.908,2012-05-16,7.689,5821
807,539517,Constantine: City of Demons - The Movie,Constantine: City of Demons - The Movie,20.287,2018-10-04,7.7,585
808,286217,The Martian,The Martian,67.554,2015-09-30,7.7,19755
809,44214,Black Swan,Black Swan,55.879,2010-12-03,7.7,14453
810,14811,Fiddler on the Roof,Fiddler on the Roof,21.173,1971-11-03,7.7,568
811,767,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,124.539,2009-07-15,7.7,19454
812,48831,Ma nuit chez Maud,My Night at Maud's,17.797,1969-06-04,7.7,307
813,27040,Meshes of the Afternoon,Meshes of the Afternoon,12.051,1943-01-01,7.7,384
814,5910,HANA-BI,Fireworks,16.723,1997-10-30,7.685,683
815,851,Brief Encounter,Brief Encounter,15.479,1945-11-24,7.7,620
816,336808,El abrazo de la serpiente,Embrace of the Serpent,18.233,2015-05-25,7.7,454
817,4808,Charade,Charade,19.911,1963-12-01,7.7,1378
818,375794,No Manches Frida,No Manches Frida,24.422,2016-09-02,7.683,882
819,167581,Freier Fall,Free Fall,18.346,2013-05-27,7.7,791
820,744114,My Policeman,My Policeman,17.571,2022-10-20,7.7,678
821,522627,The Gentlemen,The Gentlemen,43.585,2020-01-01,7.7,5840
822,1075,"Crna mačka, beli mačor","Black Cat, White Cat",18.221,1998-06-01,7.7,729
823,653,"Nosferatu, eine Symphonie des Grauens",Nosferatu,69.207,1922-02-16,7.679,2032
824,508439,Onward,Onward,42.332,2020-02-29,7.679,6137
825,446159,Bacurau,Bacurau,17.209,2019-08-29,7.7,1047
